`,index,obs_1,obs_2,obs_3,obs_4,obs_5,action_1,action_2,action_3,reward
0,0,-0.45000673690748677,-0.450018042889455,-0.4500088479047349,-0.478487998,-0.400694609,-0.150753722,-0.121429861,-0.114152089,1.2256886959075928
1,0,-0.450150758,-0.451214314,-0.450656563,-0.475102991,-0.397259891,-0.151958033,-0.132573158,-0.112889975,0.7907553315162659
2,0,-0.45030272,-0.45254004,-0.451305836,-0.460133165,-0.398676068,-0.145588025,-0.0487995,-0.124923155,1.2779406309127808
3,0,-0.450448304,-0.453028023,-0.452024341,-0.476543367,-0.398163974,-0.144036546,-0.028951764,-0.125302568,1.250378966331482
4,0,-0.450592339,-0.453317553,-0.45274502,-0.475796431,-0.397648633,-0.142985165,-0.016221315,-0.123813406,1.2890214920043943
5,0,-0.450735331,-0.453479767,-0.453457147,-0.476190537,-0.400330484,-0.139220312,0.0265455543994903,-0.125055164,1.3405792713165283
6,0,-0.450874537,-0.453214288,-0.454176396,-0.477509707,-0.401528805,-0.137215495,0.0491233468055725,-0.124438554,1.1899811029434204
7,0,-0.451011747,-0.452723056,-0.454892099,-0.471896321,-0.403309137,-0.132782415,0.0895785987377166,-0.125249118,1.2148332595825195
8,0,-0.451144546,-0.451827288,-0.455612481,-0.471073478,-0.408262849,-0.11957629,0.1712157726287841,-0.124333382,1.3405766487121582
9,0,-0.451264113,-0.450115114,-0.456327587,-0.474200249,-0.411456913,-0.10976927,0.2119198143482208,-0.117377728,1.4263724088668823
10,0,-0.451373875,-0.447995931,-0.457002699,-0.477535188,-0.410031646,-0.116181031,0.1300500035285949,-0.101996571,1.319793939590454
11,0,-0.451490074,-0.446695417,-0.457589328,-0.475610286,-0.405148536,-0.137252614,-0.049862459,-0.08208099,1.3302220106124878
12,0,-0.451627314,-0.44719404,-0.458061427,-0.476859212,-0.402444571,-0.149477363,-0.1841221,-0.062545717,1.2698317766189575
13,0,-0.451776803,-0.449035257,-0.458421171,-0.47614783,-0.398539692,-0.158764318,-0.283215761,-0.044641122,1.0484824180603027
14,0,-0.45193556,-0.451867431,-0.458677918,-0.468657643,-0.398875266,-0.159467846,-0.275228262,-0.03644146,0.8402504920959473
15,0,-0.452095032,-0.454619706,-0.458887517,-0.463426352,-0.393745959,-0.15738444,-0.223912627,-0.033846751,0.7117262482643127
16,0,-0.452252418,-0.456858844,-0.459082186,-0.460647106,-0.389231294,-0.153838232,-0.144742459,-0.034240663,1.0440407991409302
17,0,-0.452406257,-0.458306253,-0.45927912,-0.472762525,-0.386116534,-0.153356627,-0.091373146,-0.032425866,0.9945569038391112
18,0,-0.45255962,-0.459219992,-0.459465623,-0.4717094,-0.384327441,-0.151106581,-0.010949314,-0.037413135,0.9569488763809204
19,0,-0.452710718,-0.459329486,-0.459680796,-0.470036834,-0.385584414,-0.144500494,0.113441526889801,-0.042610914,0.9831939935684204
20,0,-0.452855229,-0.45819506,-0.45992586,-0.470806241,-0.385900646,-0.139696196,0.2312147617340088,-0.03287074,0.9563435912132264
21,0,-0.452994913,-0.455882937,-0.460114926,-0.467110813,-0.394301891,-0.130209208,0.4071776866912842,-0.033248961,1.1769652366638184
22,0,-0.453125119,-0.451811135,-0.460306168,-0.473850757,-0.396144211,-0.125669256,0.4610131978988647,-0.023477197,1.3287498950958252
23,0,-0.453250796,-0.447201014,-0.460441202,-0.476608187,-0.403050452,-0.121106133,0.4619821310043335,-0.014102638,1.446611762046814
24,0,-0.453371882,-0.442581207,-0.460522294,-0.479688495,-0.40559572,-0.129388973,0.3177967667579651,-0.005015761,1.5075722932815552
25,0,-0.453501284,-0.439403236,-0.460551143,-0.480674446,-0.408733904,-0.139981136,0.1257564425468444,0.0163792818784713,1.407450556755066
26,0,-0.453641266,-0.438145667,-0.460456938,-0.477380633,-0.408603132,-0.152758673,-0.088027939,0.0573086142539978,1.3191702365875244
27,0,-0.453794032,-0.439025939,-0.460127324,-0.475402951,-0.405708194,-0.166535988,-0.305809468,0.1037530153989791,1.385746717453003
28,0,-0.453960568,-0.442084044,-0.459530592,-0.478605986,-0.402756721,-0.177708313,-0.485428065,0.1446729004383087,1.089205026626587
29,0,-0.454138279,-0.446938306,-0.458698511,-0.469780624,-0.399578661,-0.181437865,-0.549652338,0.1692229211330413,1.1708149909973145
30,0,-0.454319715,-0.452434838,-0.457725227,-0.475913465,-0.389341086,-0.186546341,-0.618140101,0.1939008235931396,1.0423699617385864
31,0,-0.454506248,-0.458616227,-0.456609994,-0.474513441,-0.380696684,-0.187670305,-0.60621202,0.2008496224880218,0.5926703214645386
32,0,-0.454693913,-0.464678347,-0.455454797,-0.46122992,-0.375577301,-0.177535728,-0.42579788,0.1785534471273422,0.4887432754039764
33,0,-0.454871446,-0.468936354,-0.454427838,-0.456774712,-0.378550202,-0.151064083,-0.046306714,0.1392061412334442,0.4452141523361206
34,0,-0.455022514,-0.469399393,-0.453627199,-0.456127882,-0.376137733,-0.128255635,0.3457045555114746,0.1109791994094848,0.8629525899887085
35,0,-0.455150783,-0.465942353,-0.452988893,-0.467111439,-0.384960979,-0.098228112,0.727080762386322,0.0576018542051315,1.05302894115448
36,0,-0.455249012,-0.45867154,-0.45265758,-0.470281899,-0.394457191,-0.057060879,0.9022374749183656,0.0566051602363586,1.2186864614486694
37,0,-0.455306053,-0.449649185,-0.45233202,-0.472851723,-0.403313518,-0.029537711,1.0,0.0642870962619781,1.403571844100952
38,0,-0.455335617,-0.439649165,-0.451962262,-0.476095796,-0.412069738,-0.028017584,0.9798250794410706,0.0448397099971771,1.7350176572799685
39,0,-0.455363631,-0.429850936,-0.451704383,-0.48328498,-0.423646837,-0.044943187,0.8616471886634827,0.012775033712387,1.8984053134918213
40,0,-0.455408573,-0.421234459,-0.45163089,-0.487981349,-0.425896496,-0.087988198,0.5138854384422302,0.0041595995426177,1.8561594486236568
